model,pruning_pct,is_star,task,"word_perplexity,none","byte_perplexity,none","bits_per_byte,none",accuracy,acc_norm,perplexity,word_perplexity,bits_per_byte,"exact_match,strict-match","exact_match_stderr,strict-match","exact_match,flexible-extract","exact_match_stderr,flexible-extract","prompt_level_strict_acc,none","prompt_level_strict_acc_stderr,none","inst_level_strict_acc,none","prompt_level_loose_acc,none","prompt_level_loose_acc_stderr,none","inst_level_loose_acc,none","acc_norm,none","acc_norm_stderr,none"
Llama-3.2-1B,0,False,arc_challenge,,,,0.3106,0.3626,,,,,,,,,,,,,,,
Llama-3.2-1B,0,False,boolq,,,,0.6343,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B,0,False,gsm8k,,,,,,,,,0.0637,0.0067,0.066,0.0068,,,,,,,,
Llama-3.2-1B,0,False,hellaswag,,,,0.4771,0.6363,,,,,,,,,,,,,,,
Llama-3.2-1B,0,False,ifeval,,,,,,,,,,,,,0.1035,0.0131,0.1787,0.1109,0.0135,0.1847,,
Llama-3.2-1B,0,False,lambada_openai,,,,,,5.75,0.0,0.0,,,,,,,,,,,,
Llama-3.2-1B,0,False,leaderboard_musr,,,,,,,,,,,,,,,,,,,0.3399,0.0167
Llama-3.2-1B,0,False,mmlu,,,,0.3111,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B,0,False,piqa,,,,0.7437,0.7454,,,,,,,,,,,,,,,
Llama-3.2-1B,0,False,truthfulqa_mc1,,,,0.2338,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B,0,False,truthfulqa_mc2,,,,0.3772,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B,0,False,wikitext,11.5708,1.5807,0.6606,,,,,,,,,,,,,,,,,
Llama-3.2-1B,0,False,winogrande,,,,0.5991,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-10%,10,False,arc_challenge,,,,0.3003,0.3328,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-10%,10,False,boolq,,,,0.626,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-10%,10,False,gsm8k,,,,,,,,,0.0318,0.0048,0.0394,0.0054,,,,,,,,
Llama-3.2-1B-pruned-10%,10,False,hellaswag,,,,0.4285,0.5791,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-10%,10,False,ifeval,,,,,,,,,,,,,0.1423,0.015,0.2254,0.1479,0.0153,0.2374,,
Llama-3.2-1B-pruned-10%,10,False,lambada_openai,,,,,,20.59,0.0,0.0,,,,,,,,,,,,
Llama-3.2-1B-pruned-10%,10,False,leaderboard_musr,,,,,,,,,,,,,,,,,,,0.3624,0.0171
Llama-3.2-1B-pruned-10%,10,False,mmlu,,,,0.2511,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-10%,10,False,piqa,,,,0.7214,0.728,,,,,,,,,,,,,,,
